RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
JA460397,10/6/2017 0:00,900,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,17,1711,NORTH PARK,1,0,,,UNDETERMINED
JA462744,10/7/2017 0:00,2035,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1623,PORTAGE PARK,1,0,,,UNDETERMINED
JA469280,10/13/2017 0:00,400,460,BATTERY: SIMPLE, ANTI-ISLAMIC/MUSLIM,Central,18,1831,NEAR NORTH SIDE,1,0,,,UNDETERMINED
JA469701,10/13/2017 0:00,745,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,14,1434,LOGAN SQUARE,1,0,,,UNDETERMINED
JA477309,10/16/2017 0:00,1000,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1221,WEST TOWN,1,0,,,UNFOUNDED
JA479008,10/16/2017 0:00,1900,420,BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-GAY (MALE),North,11,1135,NORTH LAWNDALE,1,0,,,UNFOUNDED
JA486583,10/26/2017 0:00,1110,460,BATTERY: SIMPLE, ANTI-TRANSGENDER,South,6,631,CHATHAM,1,0,,,UNDETERMINED
JA509981,11/13/2017 0:00,745,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1912,LAKE VIEW,1,0,,,BONA FIDE
JA511232,11/13/2017 0:00,2044,5081,NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,UNDETERMINED
JA535069,12/3/2017 0:00,1420,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2011,WEST RIDGE,1,0,,,BONA FIDE
JA535969,12/2/2017 0:00,1200,610,BURGLARY: FORCIBLE ENTRY, ANTI-BLACK/AFRICAN-AMERICAN,Central,8,823,CHICAGO LAWN,1,0,,,UNDETERMINED
JA540678,12/7/2017 0:00,1850,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1823,LINCOLN PARK,1,0,,,BONA FIDE
JA555304,12/4/2017 0:00,706,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-GAY (MALE),North,19,1921,NORTH CENTER,1,0,,,UNDETERMINED
JB133750,1/28/2018 0:00,1000,560,ASSAULT: SIMPLE, ANTI-ISLAMIC/MUSLIM,North,20,2011,LINCOLN SQUARE,1,2,2,,BONA FIDE
JB142819,2/6/2018 0:00,745,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),Central,1,124,NEAR WEST SIDE,1,0,,,BONA FIDE
JB153824,2/14/2018 0:00,710,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JB154321,2/12/2018 0:00,2115,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-WHITE,North,11,111,LOOP,1,0,,,BONA FIDE
JB157660,2/19/2018 0:00,1350,460,BATTERY: SIMPLE, ANTI-WHITE,North,11,1133,EAST GARFIELD PARK,2,0,,,BONA FIDE
JB167285,2/27/2018 0:00,1250,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,North,24,2422,ROGERS PARK,1,0,,,BONA FIDE
JB169852,3/1/2018 0:00,1000,5081,NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,Central,2,233,WASHINGTON PARK,1,0,,,BONA FIDE
JB175444,3/6/2018 0:00,1010,530,ASSAULT: AGGRAVATED: OTHER DANG WEAPON, ANTI-WHITE,North,19,1923,LAKE VIEW,1,0,,,BONA FIDE
JB178027,3/6/2018 0:00,1100,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,Central,1,112,LOOP,1,0,,,BONA FIDE
JB184105,3/10/2018 0:00,900,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,111,LOOP,1,0,,,BONA FIDE
JB198879,3/24/2018 0:00,845,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-ARAB,Central,3,322,GREATER GRAND CROSSING,1,0,,,BONA FIDE
JB203363,3/28/2018 0:00,1930,460,BATTERY: SIMPLE, ANTI-WHITE,Central,18,1833,NEAR NORTH SIDE,1,0,,,BONA FIDE
JB212409,4/5/2018 0:00,1240,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,25,2533,HUMBOLDT PARK,1,1,1,,BONA FIDE
JB220711,4/11/2018 0:00,1555,530,ASSAULT: AGGRAVATED: OTHER DANG WEAPON, ANTI-HISPANIC/LATINO,South,7,726,WEST ENGLEWOOD,1,1,1,,BONA FIDE
JB225218,4/15/2018 0:00,1929,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,11,1132,WEST GARFIELD PARK,2,0,,,BONA FIDE
JB226974,4/16/2018 0:00,1510,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,15,1512,AUSTIN,2,0,,,BONA FIDE
JB237576,4/25/2018 0:00,1130,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1922,LAKE VIEW,1,0,,,BONA FIDE
JB248171,5/3/2018 0:00,1150,460,BATTERY: SIMPLE, ANTI-GAY (MALE),South,6,634,ROSELAND,1,0,,,BONA FIDE
